VM,IPv4,Folder,OS
CV-01-38-01-002,192.168.69.43,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-38-16-001,192.168.66.89,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-39-01-001,192.168.69.44,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-39-01-002,192.168.69.45,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-39-16-001,192.168.66.91,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-40-01-001,192.168.69.46,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-40-01-002,192.168.69.47,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-40-16-001,192.168.66.93,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-41-01-001,192.168.69.49,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-41-01-002,192.168.69.50,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-41-16-001,192.168.66.95,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-42-01-001,192.168.69.53,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-42-01-002,192.168.69.54,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-42-16-001,192.168.66.97,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-43-01-001,192.168.69.55,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-43-01-002,192.168.69.56,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-01-44-01-001,192.168.69.57,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-01-44-01-002,192.168.69.58,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2022 (64-bit)
CV-03-03-01-001,192.168.66.214,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-03-03-01-002,192.168.66.215,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-03-10-16-001,192.168.66.82,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-03-15-01-001,192.168.66.196,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-05-00-01-001,192.168.66.195,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2016 or later (64-bit)
CV-05-00-01-101,192.168.69.27,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2019 (64-bit)
CV-app-rct,192.168.66.221,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-BDD-DEMO,192.168.66.110,/KleeGroup-Hosting/TCC/Capital Venture,Red Hat Enterprise Linux 7 (64-bit)
CV-demo-recette,192.168.66.222,/KleeGroup-Hosting/TCC/Capital Venture,Microsoft Windows Server 2012 (64-bit)
CV-KH03-001,192.168.66.233,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
CV-KH03-002,192.168.66.234,/KleeGroup-Hosting/TCC/Capital Venture,CentOS 6 (64-bit)
dapelastic,192.168.127.186,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5 (64-bit)
dapsso,192.168.127.13,/KleeGroup-Hosting/DC4/Rct01,CentOS 4/5/6/7 (64-bit)
dc4-kh-smartproxy-01,192.168.89.79,/KleeGroup-Hosting/DC4/Kleegroup,CentOS 4/5 (64-bit)
DECA-2MAINS-API1-REC-EXT,172.19.180.100,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DECA-2MAINS-API2-REC-EXT,172.19.180.101,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DECA-2MAINS-BDD-REC-EXT,172.19.180.103,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DECA-2MAINS-BO1-REC-EXT,172.19.180.98,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DECA-2MAINS-BO2-REC-EXT,172.19.180.99,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DECA-2MAINS-ES-REC-EXT,172.19.180.102,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
DECA-2MAINS-OPS-REC-EXT,172.19.180.104,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
demo-dr2-app,192.168.127.48,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
demo-dr2-bdd,192.168.127.50,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
demo-dr2-es,192.168.127.49,/KleeGroup-Hosting/DC4/Rct01,Red Hat Enterprise Linux 7 (64-bit)
dev2022-elk,192.168.127.78,/KleeGroup-Hosting/DC4/Rct01,CentOS 7 (64-bit)
